"authorization.id","authorization.name","authorization.expires","authorization.value","authorization.created_at","authorization.token","status.id","status.name","order.id","order.name"
1,"JR3XgMzplOpq","2020-05-20 19:18:00","foo1.bar.local","2020-05-19 19:17:59","V6JgrDKnz6Y5AeuHZluuzypUTOISmgKD",6,"expired",1,"hqeLmg7VFqQM"
2,"6DvouKdOuGB3","2020-05-20 19:18:26","foo1.bar.local","2020-05-19 19:18:25","od48jZq6PMP2ZtjFSviDWCX7OfZ0L4jS",6,"expired",2,"b1wlz0PvIiih"
3,"UzhdACppBaLj","2020-05-20 19:20:07","certbot-1.bar.local","2020-05-19 19:20:03","FLLLQCBwPsIr5rkALGIhwORmWCJA7wXV",6,"expired",3,"F886mXiKvNfd"
4,"BzpFunyl3xAu","2020-05-20 19:20:07","certbot-2.bar.local","2020-05-19 19:20:03","MwSNALY5XiWgY878RVt1ETcFViQ0kWYM",6,"expired",3,"F886mXiKvNfd"
5,"WqVk0hkyT7HM","2020-05-20 19:22:40","certbot-3.bar.local","2020-05-19 19:22:37","7BnIuaiO1CYhfxFnRwBUCAD40nSUA0O2",6,"expired",4,"sFiDuIBiPRN1"
6,"m1c0c0k5Lim8","2020-05-20 19:22:41","certbot-4.bar.local","2020-05-19 19:22:37","3TW7xrAohIapjLt1MToHtgVr9y0m1XtE",6,"expired",4,"sFiDuIBiPRN1"
7,"qw6sxs5efqgj","2020-05-22 06:02:20","foo1.bar.local","2020-05-21 06:02:20","PbJwctTPw6DArtWvj7jkvuaIUBHzspjr",6,"expired",5,"Gq9X9qpORBNx"
8,"advfTJBwdzLb","2020-05-22 11:10:42","foo1.bar.local","2020-05-21 11:10:42","FcmxgzdGfZBdTxjIQjKqY2zJucHWVtEU",6,"expired",6,"DE9TJn0sDESh"
9,"kZa7BZkymq0i","2020-05-22 11:11:45","foo1.bar.local","2020-05-21 11:11:45","yUAvYT1V8GQmX4dNp8FeIC4yAilfGWaY",6,"expired",7,"FQACNUbhcwiu"
10,"73yOvLrAK9bJ","2020-05-22 12:31:12","foo1.bar.local","2020-05-21 12:31:12","6xcA6a2SNK2Lb7raqgaFyzlDrGFaVxqu",6,"expired",8,"cCfFhMTGwGQY"
11,"FeWbQrQxHA6R","2020-05-22 12:31:44","foo1.bar.local","2020-05-21 12:31:44","Lzzpt1I4ea7U7mmwA6G09Zf7tEl4ufhO",6,"expired",9,"fMJJy3KdfVbA"
12,"WLzo1WIVaAIa","2020-05-22 12:32:19","foo1.bar.local","2020-05-21 12:32:19","WxU9uAw8YVyj4QbHnTWURzChqOVrZ8ro",6,"expired",10,"rgahf9Tm9Czp"
13,"H9BZarw286Vz","2020-05-22 15:02:01","foo1.bar.local","2020-05-21 15:02:01","556hihWevln7Z0oW59WmBFIrcpFqw5v3",6,"expired",11,"OKbR4SbtCzFg"
14,"tpepRrJNplMg","2020-05-22 15:12:45","foo1.bar.local","2020-05-21 15:12:44","4PyTXUYto8t6IrxngqEpIaIyEKXZNvy0",6,"expired",12,"6zkpgOaS1GJk"
15,"FmzlUhLOvaAz","2020-05-22 15:20:25","foo1.bar.local","2020-05-21 15:20:24","oHIbshossKPgM08inra4gtg50WtmOWu4",6,"expired",13,"692KprfRTV1o"
16,"TZtLj3KuwYxx","2020-05-22 15:40:54","acme.nclm-samba.local","2020-05-21 15:40:53","wXv7ObWvigNUoVy6jbbs6YeIGMtJZbGr",6,"expired",14,"EnKfBAI3TBS6"
17,"shZ9cmAm2lq9","2020-05-22 15:40:54","acme2.nclm-samba.local","2020-05-21 15:40:53","sRuxgdRKdf9JmibwGkppSUNxQIQ24NtA",6,"expired",14,"EnKfBAI3TBS6"
18,"kLDnqSYx5loZ","2020-05-23 02:57:44","foo1.bar.local","2020-05-22 02:57:44","z9DiitMuN51YqpeKMjI7d6GoEGRVzmTC",6,"expired",15,"TXqVeLlIKHco"
19,"YKjBmlYNt0xh","2020-05-23 03:18:46","foo1.bar.local","2020-05-22 03:18:46","2CKRYDJCf2c0ftNVL1W7hgppHHpQv322",6,"expired",16,"gkiaREaeMhGO"
20,"TnzkYx31SM1D","2020-05-23 03:33:24","foo1.bar.local","2020-05-22 03:33:24","HZPLdo8s2n9aamzd7GlhPeVK5ASWX8Vb",6,"expired",17,"Iq1XTHcJgg5r"
21,"zakxWsMDYmys","2020-05-23 03:33:42","foo1.bar.local","2020-05-22 03:33:41","mLssJfH6jc5yv7sbhlvoTAy2KCkGGyRF",6,"expired",18,"5G9e9Xs4DghW"
22,"c3xHz6O9rHFV","2020-05-23 03:34:30","foo1.bar.local","2020-05-22 03:34:29","B2zyY9mr70I0DhKUYbHFh5sxZYrDcYAs",6,"expired",19,"gIIujNbDqtvR"
24,"zeVK08qfSiEV","2020-05-23 03:39:18","foo1.bar.local","2020-05-22 03:39:18","W0aZqodZyTHGTkBcRdvAvzO1ZEXh3Y7W",6,"expired",21,"uqvhOs39j8VT"
25,"pLb54Avf3XAy","2020-05-23 03:40:12","foo1.bar.local","2020-05-22 03:40:12","tlX7PiVGKymoERaB71K6NALykaQ4cUcQ",6,"expired",22,"GTj8NYMjsj3G"
26,"OR5Ul3F040OB","2020-05-23 03:48:25","foo1.bar.local","2020-05-22 03:48:25","OTPGXaoWIFYjEEuwyjIXBJSxekaNYyWp",6,"expired",23,"GgYNp58xWAOh"
27,"JIUrAGHxDTah","2020-05-23 03:49:50","foo1.bar.local","2020-05-22 03:49:50","5FZSl8RDxR6C6j73etfOg2ZhPgmxWJNP",6,"expired",24,"C8maLfYyTUcL"
28,"TPXdSNC5SIJ0","2020-05-23 03:54:41","foo1.bar.local","2020-05-22 03:54:41","iai8M2sr8b3F1qwl4zsE3OJly7r3usuj",6,"expired",25,"XjdzkuFereFp"
29,"8SOHGALqZlDA","2020-05-23 03:56:40","foo1.bar.local","2020-05-22 03:56:40","OOgF5jKbieyZwrqEX8iFM9iM0CJowwvr",6,"expired",26,"aHsA2TJUmGRb"
30,"v2tw3hIq3bpf","2020-05-23 03:58:05","foo1.bar.local","2020-05-22 03:58:05","fF31irt5251SrpEvmZOwKAjIXt6MhXTK",6,"expired",27,"gst9QFQsqIZt"
31,"t0vlr7voyGlF","2020-05-23 04:01:24","foo1.bar.local","2020-05-22 04:01:24","Hz4GwgOafzWlnZv4YCMyDW4QUW5BYDN1",6,"expired",28,"rCnEbY7i2bHh"
32,"fsEDhxunlVOo","2020-05-23 04:02:50","foo1.bar.local","2020-05-22 04:02:49","srbK2O5EPPmolpsOGdHgNUGHPhe6nOsk",6,"expired",29,"LHTlW3m6Etxf"
